Pyrgoella sphaera
Islandiella norcrossi
Eclysippe vanelli
Jasmineira schaudinni
Themisto libellula
Polykrikos schwartzii
Globorotalia truncatulinoides
Rhincalanus nasutus
Candacia varicans
Astrorhiza arenaria
Cribromiliolinella ericsoni
Acartia (Acartia) danae
Hyperammina friabilis
Chone paucibranchiata
Cyclococcolithina leptopora
Jaschnovia brevis
Gephyrocapsa oceanica
Hyperammina elongata
Oplophorus spinosus
Microcalanus pygmaeus
Gonyaulax monacantha
Tripos pavillardii
Miliolinella subrotunda
Chaetoceros messanense
Globigerinoides ruber
Cornuloculina inconstans
Nitzschia longissima
Codonella amphorella
Goniodoma sphaericum
Salpingella gracilis
Chaetoceros didymus
Oxytoxum reticulatum
Chaetoceros atlanticus
Roperia tesselata
Protorhabdonella simplex
Coscinodiscus centralis
Asteromphalus heptactis
Tryblionella angustata
Lensia fowleri
Salpingella secata
Tripos contortus
Stephanopyxis palmeriana
Tripos inflatus
Melosira moniliformis
Bursaopsis bursa
Pyrocystis lunula
Eutintinnus lusus-undae
Coscinodiscus curvatulus
Gyrosigma diaphanum
Proplectella ovata
Hemiaulus sinensis
Aglaura hemistoma
Acanthostomella lata
Coscinodiscus marginatus
Salpingella minutissima
Bellerochea malleus
Candacia longimana
Corythodinium constrictum
Reophax scorpiurus
Cyttarocylis ampulla
Eutintinnus elongatus
Rhizosolenia bergonii
Rhabdonella conica
Stephanopyxis turris
Centropages hamatus
Codonella elongata
